,Time,Unix,Floor,Marker,X,Y
0,2024-04-29 13:22:49.509425,1714405969.5094259,0,Experiment.Start,0.0,0.0
1,2024-04-29 13:22:50.413467,1714405970.413468,0,Eyetracking Record,0.0,0.0
2,2024-04-29 13:22:51.369695,1714405971.3696954,0,Hrv Band Record,0.0,0.0
3,2024-04-29 13:22:52.361537,1714405972.3615372,0,Joystick,0.0,0.0
4,2024-04-29 13:25:35.050455,1714406135.050455,0,Angular Measure,0.0,0.0
5,2024-04-29 13:26:45.234080,1714406205.2340808,0,Point,0.17333,0.57966
6,2024-04-29 13:27:46.911956,1714406266.9119563,0,Task1 Start,0.0,0.0
7,2024-04-29 13:28:00.658825,1714406280.6588252,0,Point,0.17714,0.65319
8,2024-04-29 13:28:30.617507,1714406310.617508,0,Point,0.24667,0.65686
9,2024-04-29 13:28:41.937012,1714406321.9370122,0,Point,0.27429,0.65074
10,2024-04-29 13:28:49.583931,1714406329.5839314,0,Point,0.28857,0.65564
11,2024-04-29 13:29:02.270636,1714406342.270636,0,Point,0.28952,0.6826
12,2024-04-29 13:29:11.971809,1714406351.9718096,0,Point,0.28857,0.71324
13,2024-04-29 13:29:27.230011,1714406367.2300117,0,Point,0.28381,0.76716
14,2024-04-29 13:29:38.408822,1714406378.4088223,0,Point,0.28667,0.8076
15,2024-04-29 13:29:46.500100,1714406386.5001006,0,Point,0.28476,0.86275
16,2024-04-29 13:30:02.601881,1714406402.601881,0,Point,0.24667,0.8701
17,2024-04-29 13:30:12.493247,1714406412.4932475,0,Point,0.24571,0.88235
18,2024-04-29 13:30:13.398955,1714406413.3989553,0,Point,0.24571,0.86765
19,2024-04-29 13:30:27.785477,1714406427.7854772,0,Point,0.18667,0.86765
20,2024-04-29 13:30:39.449211,1714406439.4492111,0,Point,0.1581,0.86642
21,2024-04-29 13:30:45.999479,1714406445.9994793,0,Point,0.14476,0.86397
22,2024-04-29 13:31:01.744417,1714406461.744417,0,Point,0.14667,0.80147
23,2024-04-29 13:31:11.777813,1714406471.7778137,0,Point,0.14571,0.74877
24,2024-04-29 13:31:38.886554,1714406498.886555,0,Point,0.13714,0.65686
25,2024-04-29 13:32:00.681125,1714406520.6811254,0,Point,0.24286,0.65196
26,2024-04-29 13:32:10.141084,1714406530.1410847,0,Point,0.17905,0.65196
