Time,Unix,Floor,Marker,X,Y
2024-05-16 18:54:32.054725,1715894672.054726,0,Experiment.Start,0.0,0.0
2024-05-16 18:54:32.632805,1715894672.6328056,0,Eyetracking Record?,0.0,0.0
2024-05-16 18:54:33.298435,1715894673.2984352,0,Watch Record?,0.0,0.0
2024-05-16 18:54:34.568684,1715894674.5686843,0,Joystick Record?,0.0,0.0
2024-05-16 18:54:44.366779,1715894684.3667793,0,Research Camera?,0.0,0.0
2024-05-16 18:54:45.523848,1715894685.5238483,0,Angular Measure?,0.0,0.0
2024-05-16 18:54:46.732896,1715894686.7334743,0,Iphone?,0.0,0.0
2024-05-16 18:55:48.788459,1715894748.788459,0,Task1 Start,0.0,0.0
2024-05-16 18:55:50.551614,1715894750.551614,0,Point,0.17714,0.625
2024-05-16 18:56:06.946885,1715894766.9468856,0,Point,0.21333,0.65809
2024-05-16 18:56:19.398257,1715894779.3982575,0,Point,0.26571,0.65686
2024-05-16 18:56:26.073587,1715894786.0735877,0,Point,0.28476,0.66544
2024-05-16 18:56:35.434525,1715894795.4345253,0,Point,0.29048,0.79779
2024-05-16 18:56:44.455650,1715894804.4556508,0,Point,0.3181,0.81127
2024-05-16 18:56:54.036190,1715894814.036191,0,Point,0.28095,0.87255
2024-05-16 18:57:03.109558,1715894823.1095588,0,Point,0.33048,0.86397
2024-05-16 18:57:04.350879,1715894824.3508794,0,Task1 End,0.0,0.0
2024-05-16 18:59:56.324890,1715894996.3248901,0,Task2 Start,0.0,0.0
2024-05-16 19:00:02.482069,1715895002.4820697,0,Point,0.28286,0.86275
2024-05-16 19:00:11.206315,1715895011.2063155,0,Point,0.25333,0.85907
2024-05-16 19:00:18.903753,1715895018.9037535,0,Point,0.18762,0.86397
2024-05-16 19:00:25.242246,1715895025.2422469,0,Point,0.14571,0.86029
2024-05-16 19:00:43.529147,1715895043.5291471,0,Point,0.14,0.65809
2024-05-16 19:01:08.235809,1715895068.2358096,0,Point,0.24762,0.65686
2024-05-16 19:01:35.804781,1715895095.804782,0,Point,0.14762,0.64951
2024-05-16 19:02:08.328687,1715895128.3286877,0,Point,0.08952,0.61642
2024-05-16 19:02:09.518586,1715895129.5185869,0,Task2 End,0.0,0.0
2024-05-16 19:03:58.681321,1715895238.681321,0,Task3 Start,0.0,0.0
2024-05-16 19:04:01.921025,1715895241.9210258,0,Point,0.11429,0.64461
2024-05-16 19:04:22.685481,1715895262.685481,0,Point,0.18095,0.65074
2024-05-16 19:05:11.961709,1715895311.9617093,0,Point,0.17333,0.64951
2024-05-16 19:06:14.704085,1715895374.704086,0,Point,0.22,0.65686
2024-05-16 19:06:22.329330,1715895382.3293307,0,Point,0.25524,0.65686
2024-05-16 19:06:44.971565,1715895404.971565,0,Point,0.28381,0.66299
2024-05-16 19:07:49.146499,1715895469.1464999,0,Point,0.28952,0.80392
2024-05-16 19:08:12.318458,1715895492.3184588,0,Point,0.28857,0.86642
2024-05-16 19:08:27.326642,1715895507.3266423,0,Point,0.18952,0.86152
2024-05-16 19:08:39.934445,1715895519.9344454,0,Point,0.14476,0.8701
2024-05-16 19:09:58.695947,1715895598.6959474,0,Point,0.14095,0.65564
2024-05-16 19:10:37.963222,1715895637.9632225,0,Point,0.18,0.56863
2024-05-16 19:11:01.825406,1715895661.8254068,0,Point,0.17238,0.48529
2024-05-16 19:11:36.599555,1715895696.5995553,0,Point,0.28762,0.50368
2024-05-16 19:11:49.353902,1715895709.3539026,0,Point,0.37048,0.51716
2024-05-16 19:12:02.324154,1715895722.3241541,0,Point,0.40381,0.51593
2024-05-16 19:12:19.356412,1715895739.3564122,1,Point,0.40476,0.51225
2024-05-16 19:12:45.318025,1715895765.318025,1,Point,0.30667,0.5049
2024-05-16 19:13:01.995717,1715895781.9957175,1,Point,0.31143,0.64216
2024-05-16 19:13:05.841372,1715895785.841373,1,Point,0.33238,0.67279
2024-05-16 19:13:07.063077,1715895787.063078,1,Task3 End,0.0,0.0
2024-05-16 19:15:57.329321,1715895957.3293214,1,Task4 Start,0.0,0.0
2024-05-16 19:15:59.471229,1715895959.471229,1,Point,0.34571,0.82353
2024-05-16 19:16:11.350452,1715895971.3504527,1,Point,0.45048,0.81863
2024-05-16 19:16:23.296641,1715895983.296641,1,Point,0.45619,0.86152
2024-05-16 19:16:45.349312,1715896005.3493123,1,Point,0.51714,0.86397
2024-05-16 19:16:56.893794,1715896016.8937943,1,Point,0.56857,0.86152
2024-05-16 19:17:50.276488,1715896070.2764888,1,Point,0.66095,0.87868
2024-05-16 19:18:20.989882,1715896100.9898827,1,Point,0.57143,0.8799
2024-05-16 19:18:38.100247,1715896118.1002479,1,Point,0.45429,0.85294
2024-05-16 19:19:05.258100,1715896145.258101,1,Point,0.44857,0.81985
2024-05-16 19:19:35.028346,1715896175.0283465,1,Point,0.48095,0.79779
2024-05-16 19:19:35.058441,1715896175.0584414,1,Point,0.48095,0.79779
2024-05-16 19:19:44.942389,1715896184.9423895,1,Point,0.55905,0.79167
2024-05-16 19:19:57.555807,1715896197.555808,1,Point,0.61143,0.78799
2024-05-16 19:20:43.832960,1715896243.8329606,1,Point,0.45048,0.79289
2024-05-16 19:21:01.534503,1715896261.534503,1,Point,0.39048,0.82108
2024-05-16 19:21:17.112794,1715896277.1127944,1,Point,0.44476,0.82475
2024-05-16 19:21:48.240433,1715896308.2404335,1,Point,0.45238,0.86397
2024-05-16 19:22:13.503233,1715896333.503233,1,Point,0.56667,0.86029
2024-05-16 19:22:28.342483,1715896348.3424838,1,Point,0.63238,0.88113
2024-05-16 19:22:29.167689,1715896349.1676893,1,Task4 End,0.0,0.0
2024-05-16 19:24:24.715563,1715896464.7155633,1,Task5 Start,0.0,0.0
2024-05-16 19:24:29.020638,1715896469.020638,1,Point,0.66476,0.87745
2024-05-16 19:24:46.478005,1715896486.4780052,1,Point,0.56476,0.85417
2024-05-16 19:24:58.902824,1715896498.9028242,1,Point,0.45238,0.86029
2024-05-16 19:25:11.336216,1715896511.3362167,1,Point,0.45143,0.8174
2024-05-16 19:25:23.861730,1715896523.8617308,1,Point,0.45048,0.71691
2024-05-16 19:25:36.107634,1715896536.107634,1,Point,0.4581,0.61152
2024-05-16 19:25:59.023409,1715896559.023409,1,Point,0.58476,0.61275
2024-05-16 19:26:01.326526,1715896561.3265262,1,Task5 End,0.0,0.0
2024-05-16 19:27:54.759004,1715896674.7590039,1,Task6 Start,0.0,0.0
2024-05-16 19:28:06.028961,1715896686.0289612,1,Point,0.45048,0.61765
2024-05-16 19:28:48.579759,1715896728.5797596,1,Point,0.3619,0.61275
2024-05-16 19:29:32.121661,1715896772.1216612,1,Point,0.32667,0.61275
2024-05-16 19:29:42.507646,1715896782.5076463,1,Point,0.31714,0.66299
2024-05-16 19:30:06.657897,1715896806.6578975,1,Point,0.30095,0.75735
2024-05-16 19:30:30.437134,1715896830.437134,1,Point,0.31333,0.88235
2024-05-16 19:31:47.119574,1715896907.1195748,1,Point,0.22571,0.88725
2024-05-16 19:31:52.980481,1715896912.9804816,1,Point,0.28952,0.88113
2024-05-16 19:32:08.894342,1715896928.8943422,1,Point,0.39619,0.8848
2024-05-16 19:32:13.277353,1715896933.2773538,1,Point,0.3981,0.92279
2024-05-16 19:32:22.140124,1715896942.140125,1,Point,0.45333,0.91912
2024-05-16 19:32:52.229837,1715896972.229837,1,Point,0.40095,0.91667
2024-05-16 19:32:56.328089,1715896976.328089,1,Point,0.37905,0.88971
2024-05-16 19:33:11.431684,1715896991.431684,1,Point,0.31429,0.88603
2024-05-16 19:33:15.304994,1715896995.3049948,1,Point,0.30286,0.80147
2024-05-16 19:33:29.985364,1715897009.9853644,1,Point,0.29714,0.66544
2024-05-16 19:33:44.051433,1715897024.051434,1,Point,0.30762,0.5049
2024-05-16 19:33:48.983936,1715897028.983936,1,Point,0.32857,0.44118
2024-05-16 19:33:54.536280,1715897034.5362809,1,Task6 End,0.0,0.0
2024-05-16 19:35:21.978607,1715897121.9786072,1,Task7 Start,0.0,0.0
2024-05-16 19:35:27.133214,1715897127.1332147,1,Point,0.37048,0.43627
2024-05-16 19:36:01.860294,1715897161.8602939,1,Point,0.3581,0.37377
2024-05-16 19:36:11.991241,1715897171.9912417,1,Point,0.36762,0.25858
2024-05-16 19:36:28.022364,1715897188.0223644,1,Point,0.33143,0.25
2024-05-16 19:36:40.818240,1715897200.818241,1,Point,0.25048,0.25
2024-05-16 19:36:51.483849,1715897211.48385,1,Point,0.18095,0.2549
2024-05-16 19:37:04.573184,1715897224.5731843,1,Point,0.24857,0.24632
2024-05-16 19:37:18.621768,1715897238.6217685,1,Point,0.33619,0.26838
2024-05-16 19:37:19.886623,1715897239.8866234,1,Point,0.3581,0.25735
2024-05-16 19:37:29.672192,1715897249.6721923,1,Point,0.40381,0.2598
2024-05-16 19:37:32.576066,1715897252.576066,1,Point,0.44952,0.25613
2024-05-16 19:37:42.752779,1715897262.7527795,1,Point,0.44952,0.25123
2024-05-16 19:37:48.208518,1715897268.208519,1,Point,0.45048,0.17647
2024-05-16 19:38:02.055137,1715897282.0551374,1,Point,0.45143,0.28922
2024-05-16 19:38:23.340938,1715897303.3409386,1,Point,0.52571,0.25368
2024-05-16 19:38:29.606579,1715897309.6065788,1,Point,0.48952,0.25368
2024-05-16 19:38:30.684623,1715897310.684624,1,Task7 End,0.0,0.0
2024-05-16 19:39:43.263477,1715897383.263477,1,Task8 Start,0.0,0.0
2024-05-16 19:39:48.259312,1715897388.2593129,1,Point,0.44381,0.25245
2024-05-16 19:39:57.711344,1715897397.7113445,1,Point,0.40476,0.2549
2024-05-16 19:40:01.844367,1715897401.8443675,1,Point,0.36857,0.25245
2024-05-16 19:40:14.297897,1715897414.2978978,1,Point,0.33429,0.2598
2024-05-16 19:40:38.881441,1715897438.881441,1,Point,0.22952,0.25858
2024-05-16 19:40:40.165184,1715897440.1651843,1,Task8 End,0.0,0.0
2024-05-16 19:43:59.605568,1715897639.6055682,4,Task9 Start,0.0,0.0
2024-05-16 19:44:03.207241,1715897643.2072413,4,Point,0.30286,0.45221
2024-05-16 19:44:17.334775,1715897657.3347754,4,Point,0.24762,0.45098
2024-05-16 19:44:32.106143,1715897672.1061435,4,Point,0.14286,0.45956
2024-05-16 19:44:40.741628,1715897680.741629,4,Point,0.14095,0.53922
2024-05-16 19:44:44.370921,1715897684.3709216,4,Point,0.15429,0.57108
2024-05-16 19:44:45.571778,1715897685.571778,4,Task9 End,0.0,0.0
2024-05-16 19:47:00.903445,1715897820.9034455,4,Task10 Start,0.0,0.0
2024-05-16 19:47:02.761426,1715897822.7614264,4,Point,0.38762,0.33701
2024-05-16 19:47:10.427711,1715897830.4277112,4,Point,0.3819,0.26838
2024-05-16 19:47:23.542622,1715897843.5426226,4,Point,0.38476,0.10539
2024-05-16 19:47:34.420877,1715897854.4208772,4,Point,0.43714,0.11275
2024-05-16 19:47:50.021385,1715897870.0213852,4,Point,0.46857,0.14706
2024-05-16 19:47:53.151927,1715897873.1519275,4,Task10 End,0.0,0.0
2024-05-16 19:50:49.228462,1715898049.2284622,4,Task11 Start,0.0,0.0
2024-05-16 19:50:50.495184,1715898050.4951842,4,Point,0.29619,0.54167
2024-05-16 19:50:53.914183,1715898053.9141831,4,Point,0.00095,0.90809
