    ,Time                       ,Unix               ,Floor ,Marker           ,X       ,Y
  0 ,2024-04-29 09:40:33.064095 ,1714392633.0640957 ,    0 ,Point            ,0.17429 ,0.58088
  1 ,2024-04-29 09:40:34.563564 ,1714392634.5635643 ,    0 ,Experiment.Start ,0.0     ,0.0
  2 ,2024-04-29 09:40:34.924963 ,1714392634.9249635 ,    0 ,Eyetracking      ,0.0     ,0.0
  3 ,2024-04-29 09:40:35.271363 ,1714392635.2713635 ,    0 ,Hrv Band         ,0.0     ,0.0
  4 ,2024-04-29 09:40:35.808233 ,1714392635.8082335 ,    0 ,Joystick         ,0.0     ,0.0
  5 ,2024-04-29 09:40:36.455809 ,1714392636.4558098 ,    0 ,Angular Measure  ,0.0     ,0.0
  6 ,2024-04-29 09:40:57.576778 ,1714392657.5767782 ,    0 ,Task1 Start      ,0.0     ,0.0
  7 ,2024-04-29 09:41:10.001186 ,1714392670.0011861 ,    0 ,Point            ,0.16952 ,0.65931
  8 ,2024-04-29 09:41:17.635767 ,1714392677.6357672 ,    0 ,Point            ,0.19238 ,0.65564
  9 ,2024-04-29 09:41:27.379262 ,1714392687.3792627 ,    0 ,Point            ,0.25048 ,0.65686
 10 ,2024-04-29 09:41:39.080234 ,1714392699.0802345 ,    0 ,Point            ,0.28762 ,0.65196
 11 ,2024-04-29 09:41:45.504183 ,1714392705.5041838 ,    0 ,Point            ,0.28667 ,0.71446
 12 ,2024-04-29 09:41:55.178126 ,1714392715.1781266 ,    0 ,Point            ,0.28    ,0.81005
 13 ,2024-04-29 09:42:10.617569 ,1714392730.6175692 ,    0 ,Point            ,0.31714 ,0.80147
 14 ,2024-04-29 09:42:11.348088 ,1714392731.3480885 ,    0 ,Point            ,0.28286 ,0.80882
 15 ,2024-04-29 09:42:15.182158 ,1714392735.1821582 ,    0 ,Point            ,0.28286 ,0.86642
 16 ,2024-04-29 09:42:24.917755 ,1714392744.9177554 ,    0 ,Point            ,0.32476 ,0.86397
 17 ,2024-04-29 09:43:14.027930 ,1714392794.02793   ,    0 ,Task1 End        ,0.0     ,0.0
 18 ,2024-04-29 09:43:17.394008 ,1714392797.3940084 ,    0 ,Point            ,0.3219  ,0.86765
 19 ,2024-04-29 09:44:21.963098 ,1714392861.9630988 ,    0 ,Task2 Start      ,0.0     ,0.0
 20 ,2024-04-29 09:44:31.903914 ,1714392871.9039147 ,    0 ,Point            ,0.29524 ,0.86642
 21 ,2024-04-29 09:44:37.749429 ,1714392877.7494295 ,    0 ,Point            ,0.27905 ,0.8701
 22 ,2024-04-29 09:44:46.770728 ,1714392886.770728  ,    0 ,Point            ,0.28286 ,0.81127
 23 ,2024-04-29 09:44:56.799745 ,1714392896.7997453 ,    0 ,Point            ,0.28381 ,0.69608
 24 ,2024-04-29 09:45:00.569529 ,1714392900.5695298 ,    0 ,Point            ,0.28476 ,0.65809
 25 ,2024-04-29 09:45:14.713568 ,1714392914.7135682 ,    0 ,Point            ,0.35048 ,0.65809
 26 ,2024-04-29 09:45:43.050290 ,1714392943.05029   ,    0 ,Point            ,0.34952 ,0.59926
 27 ,2024-04-29 09:46:05.653387 ,1714392965.6533875 ,    0 ,Point            ,0.25524 ,0.59926
 28 ,2024-04-29 09:46:07.649460 ,1714392967.64946   ,    0 ,Point            ,0.25143 ,0.65441
 29 ,2024-04-29 09:46:10.484195 ,1714392970.484196  ,    0 ,Point            ,0.21333 ,0.66176
 30 ,2024-04-29 09:46:14.721707 ,1714392974.7217076 ,    0 ,Point            ,0.17714 ,0.65196
 31 ,2024-04-29 09:46:23.060078 ,1714392983.0600789 ,    0 ,Point            ,0.17333 ,0.63971
 32 ,2024-04-29 09:46:31.878031 ,1714392991.8780317 ,    0 ,Point            ,0.1419  ,0.64461
 33 ,2024-04-29 09:46:38.325010 ,1714392998.3250098 ,    0 ,Point            ,0.10286 ,0.64216
 34 ,2024-04-29 09:46:40.051944 ,1714393000.0519443 ,    0 ,Point            ,0.08762 ,0.63971
 35 ,2024-04-29 09:46:43.071421 ,1714393003.0714216 ,    0 ,Point            ,0.09143 ,0.61397
 36 ,2024-04-29 09:46:44.282857 ,1714393004.2828574 ,    0 ,Task2 End        ,0.0     ,0.0
 37 ,2024-04-29 09:48:01.826684 ,1714393081.8266842 ,    0 ,Point            ,0.08857 ,0.61397
 38 ,2024-04-29 09:48:03.694470 ,1714393083.6944702 ,    0 ,Task3 Start      ,0.0     ,0.0
 39 ,2024-04-29 09:48:06.486229 ,1714393086.486229  ,    0 ,Point            ,0.08381 ,0.6348
 40 ,2024-04-29 09:48:10.767860 ,1714393090.7678604 ,    0 ,Point            ,0.14286 ,0.64093
 41 ,2024-04-29 09:48:17.753963 ,1714393097.7539637 ,    0 ,Point            ,0.17619 ,0.63358
 42 ,2024-04-29 09:48:25.798819 ,1714393105.7988195 ,    0 ,Point            ,0.17714 ,0.57721
 43 ,2024-04-29 09:48:32.279703 ,1714393112.2797031 ,    0 ,Point            ,0.17333 ,0.52451
 44 ,2024-04-29 09:48:36.842227 ,1714393116.8422275 ,    0 ,Point            ,0.17524 ,0.48652
 45 ,2024-04-29 09:48:50.361909 ,1714393130.361909  ,    0 ,Point            ,0.23905 ,0.47917
 46 ,2024-04-29 09:48:55.692423 ,1714393135.6924233 ,    1 ,Point            ,0.23333 ,0.48039
 47 ,2024-04-29 09:49:06.945548 ,1714393146.9455488 ,    1 ,Point            ,0.30857 ,0.48162
 48 ,2024-04-29 09:49:42.863149 ,1714393182.8631496 ,    1 ,Point            ,0.23524 ,0.48162
 49 ,2024-04-29 09:49:43.893434 ,1714393183.8934343 ,    1 ,Point            ,0.24571 ,0.47549
 50 ,2024-04-29 09:49:44.036180 ,1714393184.0361803 ,    1 ,Point            ,0.24571 ,0.47549
 51 ,2024-04-29 09:49:51.400938 ,1714393191.4009385 ,    0 ,Point            ,0.21619 ,0.48162
 52 ,2024-04-29 09:49:58.640694 ,1714393198.6406949 ,    0 ,Point            ,0.17524 ,0.48162
 53 ,2024-04-29 09:50:14.497614 ,1714393214.4976141 ,    0 ,Point            ,0.16762 ,0.50368
 54 ,2024-04-29 09:50:20.305652 ,1714393220.305652  ,    0 ,Point            ,0.24095 ,0.49632
 55 ,2024-04-29 09:50:32.376448 ,1714393232.3764489 ,    0 ,Point            ,0.29619 ,0.49755
 56 ,2024-04-29 09:50:41.183361 ,1714393241.1833615 ,    0 ,Point            ,0.3781  ,0.50735
 57 ,2024-04-29 09:50:58.721618 ,1714393258.7216187 ,    0 ,Point            ,0.31905 ,0.48897
 58 ,2024-04-29 09:51:11.557356 ,1714393271.5573564 ,    0 ,Point            ,0.23905 ,0.5049
 59 ,2024-04-29 09:51:16.749669 ,1714393276.7496693 ,    0 ,Point            ,0.1619  ,0.50368
 60 ,2024-04-29 09:51:18.022072 ,1714393278.022072  ,    0 ,Point            ,0.16857 ,0.48162
 61 ,2024-04-29 09:51:25.710745 ,1714393285.7107458 ,    0 ,Point            ,0.2219  ,0.48407
 62 ,2024-04-29 09:51:33.583433 ,1714393293.5834332 ,    1 ,Point            ,0.2219  ,0.47426
 63 ,2024-04-29 09:51:41.184492 ,1714393301.184492  ,    1 ,Point            ,0.29429 ,0.47794
 64 ,2024-04-29 09:51:49.867156 ,1714393309.8671567 ,    1 ,Point            ,0.30476 ,0.50123
 65 ,2024-04-29 09:51:58.798108 ,1714393318.7981083 ,    1 ,Point            ,0.30476 ,0.59314
 66 ,2024-04-29 09:52:02.857585 ,1714393322.8575857 ,    1 ,Point            ,0.3019  ,0.6299
 67 ,2024-04-29 09:52:29.518774 ,1714393349.518774  ,    1 ,Point            ,0.30095 ,0.66299
 68 ,2024-04-29 09:52:45.218603 ,1714393365.2186036 ,    1 ,Point            ,0.29619 ,0.73162
 69 ,2024-04-29 09:52:54.479104 ,1714393374.4791043 ,    1 ,Point            ,0.29714 ,0.8799
 70 ,2024-04-29 09:53:03.635281 ,1714393383.6352816 ,    1 ,Point            ,0.3381  ,0.8848
 71 ,2024-04-29 09:53:30.325121 ,1714393410.3251216 ,    1 ,Point            ,0.29429 ,0.87377
 72 ,2024-04-29 09:53:46.148660 ,1714393426.1486604 ,    1 ,Point            ,0.29619 ,0.71078
 73 ,2024-04-29 09:53:48.701158 ,1714393428.7011583 ,    1 ,Point            ,0.29333 ,0.67892
 74 ,2024-04-29 09:53:54.236654 ,1714393434.2366543 ,    1 ,Point            ,0.33238 ,0.65809
 75 ,2024-04-29 09:53:55.377602 ,1714393435.3776028 ,    1 ,Task3 End        ,0.0     ,0.0
 76 ,2024-04-29 09:54:57.399885 ,1714393497.4104114 ,    1 ,Point            ,0.32952 ,0.67034
 77 ,2024-04-29 09:55:15.394318 ,1714393515.3943188 ,    1 ,Point            ,0.34095 ,0.71814
 78 ,2024-04-29 09:55:28.005007 ,1714393528.0050075 ,    1 ,Point            ,0.34095 ,0.71814
 79 ,2024-04-29 09:55:37.586291 ,1714393537.5862916 ,    1 ,Task4 Start      ,0.0     ,0.0
 80 ,2024-04-29 09:55:49.427919 ,1714393549.4279194 ,    1 ,Point            ,0.44571 ,0.71814
