Time,Unix,Floor,Marker,X,Y
2024-05-06 11:34:11.812023,1715004251.812023,0,Experiment.Start,0.0,0.0
2024-05-06 11:34:12.739331,1715004252.739331,0,Eyetracking Record?,0.0,0.0
2024-05-06 11:34:13.488433,1715004253.4884334,0,Watch Record?,0.0,0.0
2024-05-06 11:34:14.220992,1715004254.220993,0,Joystick Record?,0.0,0.0
2024-05-06 11:34:14.915245,1715004254.9152455,0,Research Camera?,0.0,0.0
2024-05-06 11:34:15.637874,1715004255.6378741,0,Angular Measure?,0.0,0.0
2024-05-06 11:34:16.344786,1715004256.3447862,0,Iphone?,0.0,0.0
2024-05-06 11:35:35.505328,1715004335.5053284,0,Task1 Start,0.0,0.0
2024-05-06 11:35:37.028225,1715004337.028226,0,Point,0.16952,0.58333
2024-05-06 11:35:48.883318,1715004348.883318,0,Point,0.1581,0.65319
2024-05-06 11:36:06.038811,1715004366.0388112,0,Point,0.26,0.65809
2024-05-06 11:36:11.531730,1715004371.531731,0,Point,0.28381,0.65564
2024-05-06 11:36:16.574961,1715004376.5749612,0,Point,0.30857,0.65319
2024-05-06 11:36:19.007066,1715004379.007067,0,Point,0.28952,0.65196
2024-05-06 11:36:22.361785,1715004382.3617857,0,Point,0.28857,0.71814
2024-05-06 11:36:30.815694,1715004390.8156943,0,Point,0.28667,0.8027
2024-05-06 11:36:34.598918,1715004394.5989182,0,Point,0.31238,0.80025
2024-05-06 11:36:37.106328,1715004397.1063282,0,Point,0.33524,0.80637
2024-05-06 11:36:45.380357,1715004405.3803573,0,Point,0.28095,0.8076
2024-05-06 11:36:50.860655,1715004410.8606555,0,Point,0.28476,0.8652
2024-05-06 11:37:03.357251,1715004423.3572512,0,Point,0.32952,0.86397
2024-05-06 11:37:04.301375,1715004424.3013754,0,Task1 End,0.0,0.0
2024-05-06 11:38:33.721981,1715004513.7219815,0,Point,0.33048,0.86642
2024-05-06 11:38:34.550681,1715004514.5506816,0,Task2 Start,0.0,0.0
2024-05-06 11:38:43.288203,1715004523.288203,0,Point,0.28,0.86152
2024-05-06 11:38:48.748952,1715004528.7489522,0,Point,0.28571,0.80882
2024-05-06 11:39:00.599771,1715004540.5997715,0,Point,0.28667,0.65319
2024-05-06 11:39:09.338097,1715004549.3380978,0,Point,0.34857,0.65686
2024-05-06 11:39:28.110651,1715004568.110652,0,Point,0.28571,0.66176
2024-05-06 11:39:35.075741,1715004575.0757418,0,Point,0.1981,0.65196
2024-05-06 11:39:41.120479,1715004581.1204796,0,Point,0.16476,0.64951
2024-05-06 11:39:47.474501,1715004587.4745011,0,Point,0.13429,0.65441
2024-05-06 11:39:49.737676,1715004589.7376766,0,Point,0.10476,0.63848
2024-05-06 11:39:51.611601,1715004591.6116018,0,Point,0.08667,0.63971
2024-05-06 11:39:52.260838,1715004592.260838,0,Point,0.08762,0.61887
2024-05-06 11:39:53.315565,1715004593.3155653,0,Task2 End,0.0,0.0
2024-05-06 11:40:52.561123,1715004652.5611236,0,Task3 Start,0.0,0.0
2024-05-06 11:40:54.496073,1715004654.496073,0,Point,0.08857,0.61887
2024-05-06 11:40:55.035046,1715004655.035046,0,Point,0.08857,0.63848
2024-05-06 11:40:55.961507,1715004655.961507,0,Point,0.13333,0.65686
2024-05-06 11:41:04.083334,1715004664.0833347,0,Point,0.1619,0.64828
2024-05-06 11:41:09.098458,1715004669.098458,0,Point,0.17714,0.64583
2024-05-06 11:41:17.814162,1715004677.8141627,0,Point,0.17429,0.59559
2024-05-06 11:41:22.855186,1715004682.8551867,0,Point,0.17333,0.52819
2024-05-06 11:41:28.576881,1715004688.576881,0,Point,0.17524,0.48775
2024-05-06 11:41:32.225075,1715004692.2250755,0,Point,0.18476,0.47917
2024-05-06 11:41:52.422122,1715004712.4221225,1,Point,0.28476,0.48284
2024-05-06 11:41:59.423582,1715004719.4235823,1,Point,0.30762,0.48529
2024-05-06 11:42:21.229000,1715004741.2290003,1,Point,0.30571,0.60662
2024-05-06 11:42:40.666796,1715004760.6667964,1,Point,0.30571,0.63971
2024-05-06 11:42:51.239330,1715004771.2393305,1,Point,0.30476,0.60172
2024-05-06 11:42:57.127478,1715004777.1274784,1,Point,0.32381,0.60784
2024-05-06 11:42:58.157654,1715004778.157654,1,Task3 End,0.0,0.0
2024-05-06 11:44:11.154012,1715004851.154013,1,Point,0.34762,0.82475
2024-05-06 11:44:33.278050,1715004873.2780504,1,Task4 Start,0.0,0.0
2024-05-06 11:44:35.498718,1715004875.4987187,1,Point,0.36,0.8223
2024-05-06 11:44:47.039812,1715004887.0398126,1,Point,0.45238,0.82353
2024-05-06 11:44:51.713708,1715004891.7137084,1,Point,0.44857,0.85294
2024-05-06 11:44:54.014748,1715004894.0147483,1,Point,0.45619,0.86765
2024-05-06 11:44:59.412836,1715004899.4128366,1,Point,0.46667,0.86642
2024-05-06 11:45:15.216713,1715004915.2167137,1,Point,0.56095,0.8652
2024-05-06 11:45:29.006866,1715004929.0068662,1,Point,0.63905,0.87623
2024-05-06 11:45:29.926911,1715004929.9269118,1,Task4 End,0.0,0.0
